evaluated_model,scorer_model,source_file,n,mean_P,mean_R,mean_F1,median_F1,std_F1,min_F1,max_F1,bootstrap_mean_F1,bootstrap_ci95_low_F1,bootstrap_ci95_high_F1
Gemma tuned,google_electra-large-discriminator,gemma_tuned_results_with_bert_score_google_electra-large-discriminator.csv,210,0.6391504761904762,0.6772161904761904,0.6524738095238095,0.6322,0.16022692439539482,0.3583,1.0,0.6523998563333333,0.6312092738095236,0.6737142857142856
Llama tuned,google_electra-large-discriminator,llama_tuned_results_with_bert_score_google_electra-large-discriminator.csv,210,0.6277447619047619,0.670285238095238,0.6439714285714285,0.63295,0.14671939087331468,0.3583,0.9833,0.6440109531428571,0.6244275119047619,0.6640754404761903
Llama not tuned,google_electra-large-discriminator,llama_not_tuned_results_with_bert_score_google_electra-large-discriminator.csv,210,0.6250671428571428,0.6468266666666668,0.6312219047619048,0.6176999999999999,0.15117581512164646,0.3501,1.0,0.6313860008571429,0.6115029047619048,0.6511693333333333
Gemma not tuned,google_electra-large-discriminator,gemma_not_tuned_results_with_bert_score_google_electra-large-discriminator.csv,210,0.6328595238095238,0.6231414285714286,0.6240814285714287,0.60365,0.1733350465473898,0.0184,1.0,0.6239796164285715,0.6006237380952381,0.6476001190476193
Gemini baseline,google_electra-large-discriminator,baseline_results_with_bert_score_google_electra-large-discriminator.csv,210,0.41712809523809524,0.6280161904761905,0.4995361904761905,0.49160000000000004,0.05691221919370269,0.3786,0.7225,0.4995399005238095,0.49211127380952385,0.5073059404761905
Gemma tuned,microsoft_deberta-base-mnli,gemma_tuned_results_with_bert_score_microsoft_deberta-base-mnli.csv,210,0.6985404761904763,0.7231304761904762,0.7077185714285714,0.687,0.12651697538334677,0.461,1.0,0.7077797771428571,0.6906294523809524,0.7251596190476188
Llama tuned,microsoft_deberta-base-mnli,llama_tuned_results_with_bert_score_microsoft_deberta-base-mnli.csv,210,0.6865004761904762,0.7168938095238097,0.6987557142857143,0.6857500000000001,0.11511525736909259,0.4578,0.9879,0.6987431353333333,0.6833443214285714,0.7146196071428573
Llama not tuned,microsoft_deberta-base-mnli,llama_not_tuned_results_with_bert_score_microsoft_deberta-base-mnli.csv,210,0.6843109523809525,0.6980280952380953,0.688527142857143,0.6728000000000001,0.11932903478213887,0.4578,1.0,0.6886529677142857,0.6722152142857143,0.7052248690476192
Gemma not tuned,microsoft_deberta-base-mnli,gemma_not_tuned_results_with_bert_score_microsoft_deberta-base-mnli.csv,210,0.6952571428571428,0.6838466666666668,0.6868090476190477,0.66665,0.1307005089041231,0.4577,1.0,0.6867950889047619,0.6692180357142856,0.7047249047619046
Gemini baseline,microsoft_deberta-base-mnli,baseline_results_with_bert_score_microsoft_deberta-base-mnli.csv,210,0.5312461904761905,0.6890314285714285,0.5989414285714286,0.5969,0.0453125577813288,0.5044,0.7419,0.5989536141428572,0.592768892857143,0.6050502857142857
Gemma tuned,microsoft_deberta-large-mnli,gemma_tuned_results_with_bert_score_microsoft_deberta-large-mnli.csv,210,0.6524057142857143,0.6837480952380953,0.6635847619047619,0.6375,0.14573996885779245,0.3604,1.0,0.6634251692380954,0.6438769285714286,0.6833531904761905
Llama tuned,microsoft_deberta-large-mnli,llama_tuned_results_with_bert_score_microsoft_deberta-large-mnli.csv,210,0.6386095238095238,0.6798785714285713,0.6545514285714287,0.6442,0.1354339321367654,0.357,0.9853,0.6544927221904762,0.6366479880952383,0.6724455714285715
Llama not tuned,microsoft_deberta-large-mnli,llama_not_tuned_results_with_bert_score_microsoft_deberta-large-mnli.csv,210,0.6382495238095238,0.6581504761904761,0.6440204761904762,0.6367499999999999,0.1388417953073716,0.357,1.0,0.6440338009523809,0.625467511904762,0.6630087261904762
Gemma not tuned,microsoft_deberta-large-mnli,gemma_not_tuned_results_with_bert_score_microsoft_deberta-large-mnli.csv,210,0.6499204761904761,0.6385014285714287,0.6403419047619049,0.61195,0.1493852453792689,0.3718,1.0,0.6403351064285715,0.6205978452380952,0.6602514642857144
Gemini baseline,microsoft_deberta-large-mnli,baseline_results_with_bert_score_microsoft_deberta-large-mnli.csv,210,0.4380871428571428,0.6495428571428571,0.5217233333333334,0.5185,0.05217252460600268,0.3803,0.7095,0.5217020416666667,0.5147307976190477,0.5289400357142858
Gemma tuned,microsoft_deberta-v2-xlarge,gemma_tuned_results_with_bert_score_microsoft_deberta-v2-xlarge.csv,210,0.7883119047619046,0.8044352380952381,0.7949414285714286,0.7873,0.09061683435105135,0.6039,1.0,0.7949341796666666,0.7827094761904763,0.8072855595238095
Llama tuned,microsoft_deberta-v2-xlarge,llama_tuned_results_with_bert_score_microsoft_deberta-v2-xlarge.csv,210,0.7831714285714286,0.8063247619047618,0.793412857142857,0.7931,0.08281542731500607,0.6039,0.9858,0.7933820985714285,0.7823237619047619,0.804641011904762
Llama not tuned,microsoft_deberta-v2-xlarge,llama_not_tuned_results_with_bert_score_microsoft_deberta-v2-xlarge.csv,210,0.7809138095238096,0.7918552380952382,0.7851866666666667,0.7826500000000001,0.0847678767660218,0.5998,1.0,0.7852827755238095,0.7740026309523809,0.7966624642857143
Gemma not tuned,microsoft_deberta-v2-xlarge,gemma_not_tuned_results_with_bert_score_microsoft_deberta-v2-xlarge.csv,210,0.7844690476190476,0.7764914285714285,0.7792757142857144,0.76845,0.09381367888096669,0.5998,1.0,0.7793693661428571,0.766996892857143,0.7921561904761905
Gemini baseline,microsoft_deberta-v2-xlarge,baseline_results_with_bert_score_microsoft_deberta-v2-xlarge.csv,210,0.6686057142857145,0.7949009523809524,0.7258042857142858,0.7262,0.032713702712795056,0.6432,0.8206,0.7258138876666665,0.7213771428571428,0.7302828690476191
Gemma tuned,microsoft_deberta-v2-xlarge-mnli,gemma_tuned_results_with_bert_score_microsoft_deberta-v2-xlarge-mnli.csv,210,0.7854871428571427,0.8025857142857143,0.7922428571428571,0.7874,0.0906664113907521,0.5874,1.0,0.7923615565238096,0.7801127857142858,0.8046581190476191
Llama tuned,microsoft_deberta-v2-xlarge-mnli,llama_tuned_results_with_bert_score_microsoft_deberta-v2-xlarge-mnli.csv,210,0.7803480952380953,0.803222380952381,0.7901428571428571,0.79165,0.08484599936957875,0.5874,0.9882,0.7900723521904761,0.7788776309523808,0.8015487499999999
