model_family,scorer_model,n_paired_questions,mean_delta_F1,bootstrap_mean_delta_F1,bootstrap_ci95_low_delta_F1,bootstrap_ci95_high_delta_F1,ci_excludes_zero
Gemma,xlnet-large-cased,210,0.03656047619047619,0.03659363138095239,0.01998691666666667,0.05443591666666666,True
Gemma,microsoft_deberta-v3-base,210,0.03000380952380952,0.029975440095238098,0.014294892857142862,0.0460395357142857,True
Gemma,google_electra-large-discriminator,210,0.028392380952380947,0.02850401995238095,0.011410428571428577,0.046374857142857134,True
Gemma,microsoft_deberta-v3-large,210,0.027062857142857145,0.027015515000000004,0.012862857142857152,0.04181146428571429,True
Gemma,microsoft_deberta-v3-xsmall,210,0.02608857142857143,0.026033824333333337,0.013822619047619056,0.03887286904761905,True
Gemma,microsoft_deberta-large-mnli,210,0.023242857142857138,0.0232828650952381,0.008556023809523809,0.03854767857142857,True
Gemma,microsoft_deberta-base-mnli,210,0.020909523809523815,0.02090357471428571,0.0084652380952381,0.03401635714285715,True
Gemma,microsoft_deberta-xlarge-mnli,210,0.020132857142857147,0.02015238047619048,0.0063580238095238125,0.03430350000000001,True
Gemma,microsoft_deberta-v3-small,210,0.01838380952380952,0.018399539619047618,0.009378571428571436,0.028010892857142856,True
Gemma,microsoft_deberta-v2-xxlarge,210,0.017096666666666666,0.017111317285714283,0.0070590238095238084,0.027555761904761892,True
Gemma,microsoft_deberta-v2-xlarge,210,0.015665714285714283,0.01571816357142857,0.006754595238095236,0.02493305952380952,True
Gemma,microsoft_deberta-v2-xlarge-mnli,210,0.014487619047619051,0.014564691476190479,0.005479738095238101,0.023965857142857136,True
Gemma,microsoft_deberta-v2-xxlarge-mnli,210,0.01447952380952381,0.01448588923809524,0.005053726190476194,0.024446428571428563,True
Gemma,roberta-large,210,0.007610476190476196,0.007579760476190481,0.0032849761904761967,0.012098785714285711,True
Llama,xlnet-large-cased,210,0.015737619047619042,0.015772786047619045,0.0021850119047619023,0.030083892857142858,True
Llama,microsoft_deberta-v3-base,210,0.015354285714285721,0.015374759190476194,0.001784333333333347,0.029645785714285715,True
Llama,microsoft_deberta-v3-large,210,0.014084761904761905,0.014093675238095238,0.0021628452380952415,0.02670428571428571,True
Llama,google_electra-large-discriminator,210,0.012749523809523803,0.012747929476190469,-0.0006916785714285765,0.0265612738095238,False
Llama,microsoft_deberta-xlarge-mnli,210,0.01179857142857143,0.011858405714285715,-0.00035054761904761427,0.024650130952380948,False
Llama,microsoft_deberta-large-mnli,210,0.010530952380952384,0.010558291190476191,-0.00222444047619047,0.023880880952380952,False
Llama,microsoft_deberta-base-mnli,210,0.010228571428571427,0.010321808809523807,-0.0008691190476190476,0.022053452380952375,False
Llama,microsoft_deberta-v3-xsmall,210,0.0099147619047619,0.009858652428571426,-0.0010696666666666693,0.021253845238095235,False
Llama,microsoft_deberta-v2-xxlarge,210,0.008885238095238094,0.008864330095238095,0.0005225595238095318,0.01729685714285713,True
Llama,microsoft_deberta-v2-xlarge,210,0.00822619047619048,0.00821533552380953,0.0007855714285714332,0.01595914285714286,True
Llama,microsoft_deberta-v2-xxlarge-mnli,210,0.008020952380952386,0.008018440142857148,-0.0002753452380952328,0.016565559523809517,False
Llama,microsoft_deberta-v2-xlarge-mnli,210,0.007800476190476191,0.007765148190476191,-0.00010170238095238045,0.016141130952380952,False
Llama,microsoft_deberta-v3-small,210,0.0077599999999999995,0.007813326095238096,-0.00029913095238094997,0.01653403571428571,False
Llama,roberta-large,210,0.003108571428571431,0.0031333821904761926,-0.0006080952380952362,0.006960023809523813,False
