scorer_model,Gemini baseline,Gemma not tuned,Gemma tuned,Llama not tuned,Llama tuned,Llama tuned_minus_not_tuned,Gemma tuned_minus_not_tuned
google_electra-large-discriminator,0.4995361904761905,0.6240814285714287,0.6524738095238095,0.6312219047619048,0.6439714285714285,0.012749523809523766,0.028392380952380836
microsoft_deberta-base-mnli,0.5989414285714286,0.6868090476190477,0.7077185714285714,0.688527142857143,0.6987557142857143,0.010228571428571254,0.02090952380952371
microsoft_deberta-large-mnli,0.5217233333333334,0.6403419047619049,0.6635847619047619,0.6440204761904762,0.6545514285714287,0.010530952380952474,0.02324285714285701
microsoft_deberta-v2-xlarge,0.7258042857142858,0.7792757142857144,0.7949414285714286,0.7851866666666667,0.793412857142857,0.008226190476190332,0.015665714285714172
microsoft_deberta-v2-xlarge-mnli,0.7126152380952381,0.777755238095238,0.7922428571428571,0.782342380952381,0.7901428571428571,0.007800476190476191,0.014487619047619082
microsoft_deberta-v2-xxlarge,0.6748985714285715,0.73883,0.7559266666666666,0.7452909523809523,0.7541761904761906,0.008885238095238224,0.01709666666666665
microsoft_deberta-v2-xxlarge-mnli,0.6920233333333334,0.7581523809523809,0.7726319047619048,0.7627347619047619,0.7707557142857143,0.008020952380952462,0.014479523809523887
microsoft_deberta-v3-base,0.5068604761904761,0.6114361904761905,0.6414399999999999,0.6140509523809524,0.6294052380952381,0.015354285714285654,0.030003809523809433
microsoft_deberta-v3-large,0.6027504761904762,0.6738680952380951,0.7009309523809523,0.6835519047619049,0.6976366666666666,0.014084761904761711,0.027062857142857166
microsoft_deberta-v3-small,0.7014799999999999,0.7683252380952381,0.7867090476190478,0.7678961904761904,0.7756561904761905,0.0077600000000001,0.01838380952380969
microsoft_deberta-v3-xsmall,0.5729814285714285,0.6659671428571429,0.6920557142857142,0.6662728571428571,0.6761876190476189,0.009914761904761815,0.02608857142857135
microsoft_deberta-xlarge-mnli,0.5376290476190476,0.6689890476190474,0.6891219047619047,0.6677004761904761,0.6794990476190476,0.011798571428571436,0.020132857142857286
roberta-large,0.8400957142857143,0.8852633333333334,0.8928738095238096,0.8861271428571429,0.8892357142857144,0.0031085714285714605,0.0076104761904761675
xlnet-large-cased,0.4780928571428571,0.5563695238095239,0.59293,0.5636919047619048,0.5794295238095238,0.015737619047619056,0.03656047619047609
