scorer_model,evaluated_models,avg_F1_across_evaluated_models,spread_between_evaluated_models,mean_std_within_files
roberta-large,5,0.8787191428571429,0.05277809523809529,0.04102170651713403
microsoft_deberta-v2-xlarge,5,0.7757241904761905,0.06913714285714279,0.0769455040051682
microsoft_deberta-v2-xlarge-mnli,5,0.7710197142857143,0.07962761904761906,0.07838946817877807
microsoft_deberta-v3-small,5,0.7600133333333334,0.08522904761904793,0.08149421894171929
microsoft_deberta-v2-xxlarge-mnli,5,0.7512596190476191,0.08060857142857136,0.08473933223131262
microsoft_deberta-v2-xxlarge,5,0.7338244761904762,0.08102809523809518,0.08861808517359208
microsoft_deberta-base-mnli,5,0.676150380952381,0.1087771428571428,0.10739486684400604
microsoft_deberta-v3-large,5,0.671747619047619,0.0981804761904761,0.12058742944345266
microsoft_deberta-v3-xsmall,5,0.6546929523809524,0.11907428571428569,0.10759403130984904
microsoft_deberta-xlarge-mnli,5,0.6485879047619048,0.1514928571428571,0.11616732893216124
microsoft_deberta-large-mnli,5,0.6248443809523809,0.14186142857142847,0.1243146932574402
google_electra-large-discriminator,5,0.6102569523809523,0.152937619047619,0.13767387922628968
microsoft_deberta-v3-base,5,0.6006385714285714,0.13457952380952376,0.13290793946864832
xlnet-large-cased,5,0.5541027619047619,0.11483714285714286,0.14259706262160937
